dataset,openml_id,n_samples_orig,n_samples_mod,n_classes,intervention,alpha_orig,r2_orig,alpha_mod,r2_mod,delta_alpha,direction_pred,direction_correct,feature_key,feature_orig,feature_mod,delta_feature,feat_orig_probe_difficulty,feat_orig_class_entropy,feat_orig_label_noise,feat_orig_fisher_ratio,feat_orig_class_imbalance,feat_orig_n_samples,feat_orig_n_features,feat_orig_n_classes,feat_mod_probe_difficulty,feat_mod_class_entropy,feat_mod_label_noise,feat_mod_fisher_ratio,feat_mod_class_imbalance,feat_mod_n_samples,feat_mod_n_features,feat_mod_n_classes
banknote-authentication,1462,1372,838,2,class_imbalance,0.20304050230664356,0.6312303086514489,0.028170703808861206,0.7449149814795664,-0.17486979849778234,-1,1,class_entropy,0.6869976657350199,0.3041362276150357,-0.38286143811998413,0.07314965522204628,0.6869976657350199,0.002186588921282799,0.16386735448542913,1.2471358428805237,1372,4,2,0.06444668181647725,0.3041362276150357,0.0011933174224343676,0.06360312334300638,9.896103896103897,838,4,2
bank-marketing,1461,5000,5000,2,label_noise_10,0.43437192641163186,0.7825053568898437,0.11841328568270652,0.46130717981576314,-0.3159586407289253,-1,1,label_noise,0.133,0.2578,0.12479999999999997,0.25806206030542855,0.3414679506995423,0.133,0.007591200306647486,8.278293135435993,5000,16,2,0.4377083565308624,0.47320823397930245,0.2578,0.003031010212298399,4.513781697905182,5000,16,2
bank-marketing,1461,5000,5000,2,label_noise_20,0.43437192641163186,0.7825053568898437,0.12559715951130243,0.4717262301093454,-0.30877476690032946,-1,1,label_noise,0.133,0.3722,0.23919999999999997,0.25806206030542855,0.3414679506995423,0.133,0.007591200306647486,8.278293135435993,5000,16,2,0.5612200130995899,0.5776090489805676,0.3722,0.001329620793796647,2.7800453514739227,5000,16,2
bank-marketing,1461,5000,5000,2,feature_noise_03,0.43437192641163186,0.7825053568898437,0.2269649907327897,0.7730856006682901,-0.20740693567884216,-1,1,probe_difficulty,0.25806206030542855,0.2649073787312549,0.006845318425826363,0.25806206030542855,0.3414679506995423,0.133,0.007591200306647486,8.278293135435993,5000,16,2,0.2649073787312549,0.3414679506995423,0.1424,0.007510522663349315,8.278293135435993,5000,16,2
bank-marketing,1461,5000,5000,2,feature_noise_07,0.43437192641163186,0.7825053568898437,0.26061369899420733,0.586470672419775,-0.17375822741742453,-1,1,probe_difficulty,0.25806206030542855,0.28356907117862595,0.0255070108731974,0.25806206030542855,0.3414679506995423,0.133,0.007591200306647486,8.278293135435993,5000,16,2,0.28356907117862595,0.3414679506995423,0.1624,0.0059623800231111985,8.278293135435993,5000,16,2
bank-marketing,1461,5000,8924,2,smote_balance,0.43437192641163186,0.7825053568898437,0.12292079399104613,0.9761063779359835,-0.31145113242058575,1,0,class_entropy,0.3414679506995423,0.6931471803599453,0.351679229660403,0.25806206030542855,0.3414679506995423,0.133,0.007591200306647486,8.278293135435993,5000,16,2,0.42657730643626635,0.6931471803599453,0.06476916181084716,0.017235553854395014,0.9997759354694152,8924,16,2
bank-marketing,1461,5000,4908,2,class_imbalance,0.43437192641163186,0.7825053568898437,0.25116580743441635,0.7064935158840051,-0.1832061189772155,-1,1,class_entropy,0.3414679506995423,0.3045507889605933,-0.03691716173894899,0.25806206030542855,0.3414679506995423,0.133,0.007591200306647486,8.278293135435993,5000,16,2,0.23280668847543712,0.3045507889605933,0.12041564792176039,0.006421481569203337,9.982102908277405,4908,16,2
eeg-eye-state,1471,5000,5000,2,label_noise_10,0.321876844412714,0.9429764424589269,0.1185284385456379,0.9047446443901579,-0.20334840586707614,-1,1,label_noise,0.0524,0.202,0.1496,0.6402044928077992,0.6892347954402118,0.0524,0.0002641950658191819,1.193421052631579,5000,14,2,0.6616153503781577,0.6913700473763542,0.202,0.00024203133446596867,1.1262755102040816,5000,14,2
eeg-eye-state,1471,5000,5000,2,label_noise_20,0.321876844412714,0.9429764424589269,0.044843626113809446,0.8005761147420383,-0.2770332182989046,-1,1,label_noise,0.0524,0.3316,0.2792,0.6402044928077992,0.6892347954402118,0.0524,0.0002641950658191819,1.193421052631579,5000,14,2,0.6820116186761863,0.6918563048110413,0.3316,0.0001701816199114896,1.1065711878685762,5000,14,2
eeg-eye-state,1471,5000,5000,2,feature_noise_03,0.321876844412714,0.9429764424589269,0.3616574049346329,0.7903799133038385,0.03978056052191886,-1,0,probe_difficulty,0.6402044928077992,0.6632124233866195,0.023007930578820224,0.6402044928077992,0.6892347954402118,0.0524,0.0002641950658191819,1.193421052631579,5000,14,2,0.6632124233866195,0.6892347954402118,0.4952,0.000164523679302603,1.193421052631579,5000,14,2
eeg-eye-state,1471,5000,5000,2,feature_noise_07,0.321876844412714,0.9429764424589269,0.8262705609679841,0.8441817417543809,0.5043937165552701,-1,0,probe_difficulty,0.6402044928077992,0.6763310456168296,0.03612655280903032,0.6402044928077992,0.6892347954402118,0.0524,0.0002641950658191819,1.193421052631579,5000,14,2,0.6763310456168296,0.6892347954402118,0.505,6.77941416783422e-05,1.193421052631579,5000,14,2
eeg-eye-state,1471,5000,5442,2,smote_balance,0.321876844412714,0.9429764424589269,0.4012479072152892,0.9656732743850491,0.07937106280257517,1,1,class_entropy,0.6892347954402118,0.6931471803599453,0.003912384919733447,0.6402044928077992,0.6892347954402118,0.0524,0.0002641950658191819,1.193421052631579,5000,14,2,0.6445280600415587,0.6931471803599453,0.043550165380374865,0.0002080228990429997,0.9996326230712711,5442,14,2
eeg-eye-state,1471,5000,2993,2,class_imbalance,0.321876844412714,0.9429764424589269,0.10036126648038249,0.7529155852851753,-0.22151557793233154,-1,1,class_entropy,0.6892347954402118,0.30456615307143453,-0.3846686423687773,0.6402044928077992,0.6892347954402118,0.0524,0.0002641950658191819,1.193421052631579,5000,14,2,0.29623175375619254,0.30456615307143453,0.049448713665218844,0.003649206889268862,9.967032967032967,2993,14,2
adult,1590,5000,5000,2,label_noise_10,0.3502367228158153,0.7890440837334404,0.24351846232948565,0.731454053378091,-0.10671826048632965,-1,1,label_noise,0.1904,0.3066,0.11619999999999997,0.3863173103492853,0.5496927605923098,0.1904,0.05230562740436857,3.184937238493724,5000,14,2,0.526201678254162,0.6046397553790853,0.3066,0.030315826131478305,2.413651877133106,5000,14,2
